id_registro,id_pessoa,id_produto,classe,valor,gerado_em
20260414_162704_000001,72,3,2,109.98,2026-04-14 16:27:04.388202
20260414_162704_000002,30,1,1,131.6,2026-04-14 16:27:04.388220
20260414_162704_000003,45,3,2,223.63,2026-04-14 16:27:04.388230
20260414_162704_000004,44,2,3,407.55,2026-04-14 16:27:04.388238
20260414_162704_000005,8,4,1,403.54,2026-04-14 16:27:04.388246
20260414_162704_000006,3,2,2,284.78,2026-04-14 16:27:04.388254
20260414_162704_000007,5,4,1,326.44,2026-04-14 16:27:04.388261
20260414_162704_000008,3,3,2,405.82,2026-04-14 16:27:04.388267
20260414_162704_000009,65,3,1,415.22,2026-04-14 16:27:04.388277
20260414_162704_000010,96,2,1,308.26,2026-04-14 16:27:04.388285
20260414_162704_000011,25,2,1,482.11,2026-04-14 16:27:04.388292
20260414_162704_000012,59,2,1,371.02,2026-04-14 16:27:04.388299
20260414_162704_000013,29,4,1,415.44,2026-04-14 16:27:04.388307
20260414_162704_000014,34,4,1,229.01,2026-04-14 16:27:04.388313
20260414_162704_000015,55,1,1,323.69,2026-04-14 16:27:04.388320
20260414_162704_000016,44,4,1,376.53,2026-04-14 16:27:04.388327
20260414_162704_000017,8,3,1,345.56,2026-04-14 16:27:04.388333
20260414_162704_000018,8,2,3,471.23,2026-04-14 16:27:04.388340
20260414_162704_000019,1,2,1,268.86,2026-04-14 16:27:04.388346
20260414_162704_000020,60,4,1,272.9,2026-04-14 16:27:04.388353
20260414_162704_000021,9,4,1,418.62,2026-04-14 16:27:04.388362
20260414_162704_000022,49,4,1,154.49,2026-04-14 16:27:04.388368
20260414_162704_000023,3,1,2,471.28,2026-04-14 16:27:04.388375
20260414_162704_000024,65,1,3,306.0,2026-04-14 16:27:04.388381
20260414_162704_000025,1,3,1,302.41,2026-04-14 16:27:04.388388
20260414_162704_000026,41,3,1,147.64,2026-04-14 16:27:04.388395
20260414_162704_000027,63,2,2,497.15,2026-04-14 16:27:04.388401
20260414_162704_000028,2,4,3,299.68,2026-04-14 16:27:04.388408
20260414_162704_000029,3,3,2,488.04,2026-04-14 16:27:04.388417
20260414_162704_000030,14,1,1,185.61,2026-04-14 16:27:04.388424
20260414_162704_000031,12,3,1,314.73,2026-04-14 16:27:04.388430
20260414_162704_000032,21,3,2,387.39,2026-04-14 16:27:04.388437
20260414_162704_000033,2,2,1,203.58,2026-04-14 16:27:04.388443
20260414_162704_000034,7,3,3,296.65,2026-04-14 16:27:04.388450
20260414_162704_000035,68,4,2,488.28,2026-04-14 16:27:04.388457
20260414_162704_000036,7,1,3,459.88,2026-04-14 16:27:04.388463
20260414_162704_000037,5,4,2,130.4,2026-04-14 16:27:04.388470
20260414_162704_000038,44,2,2,191.57,2026-04-14 16:27:04.388476
20260414_162704_000039,62,4,2,371.12,2026-04-14 16:27:04.388484
20260414_162704_000040,12,2,3,269.74,2026-04-14 16:27:04.388491
20260414_162704_000041,2,3,1,493.22,2026-04-14 16:27:04.388497
20260414_162704_000042,4,3,2,177.85,2026-04-14 16:27:04.388504
20260414_162704_000043,33,2,2,423.54,2026-04-14 16:27:04.388511
20260414_162704_000044,6,1,1,295.89,2026-04-14 16:27:04.388517
20260414_162704_000045,2,4,1,235.04,2026-04-14 16:27:04.388524
20260414_162704_000046,48,3,1,144.95,2026-04-14 16:27:04.388531
20260414_162704_000047,11,2,2,245.45,2026-04-14 16:27:04.388537
20260414_162704_000048,7,2,1,337.3,2026-04-14 16:27:04.388545
20260414_162704_000049,13,3,1,391.51,2026-04-14 16:27:04.388551
20260414_162704_000050,10,1,1,107.11,2026-04-14 16:27:04.388559
20260414_162704_000051,8,4,2,364.94,2026-04-14 16:27:04.388565
20260414_162704_000052,38,2,1,236.83,2026-04-14 16:27:04.388572
20260414_162704_000053,85,2,3,155.47,2026-04-14 16:27:04.388578
20260414_162704_000054,23,1,1,102.25,2026-04-14 16:27:04.388586
20260414_162704_000055,31,1,1,117.4,2026-04-14 16:27:04.388593
20260414_162704_000056,25,3,1,337.59,2026-04-14 16:27:04.388600
20260414_162704_000057,6,4,1,217.48,2026-04-14 16:27:04.388606
20260414_162704_000058,34,4,2,306.7,2026-04-14 16:27:04.388613
20260414_162704_000059,33,1,2,407.38,2026-04-14 16:27:04.388620
20260414_162704_000060,18,4,3,201.47,2026-04-14 16:27:04.388626
20260414_162704_000061,1,2,1,350.87,2026-04-14 16:27:04.388633
20260414_162704_000062,14,3,1,315.97,2026-04-14 16:27:04.388639
20260414_162704_000063,82,1,1,311.65,2026-04-14 16:27:04.388646
20260414_162704_000064,56,3,1,134.25,2026-04-14 16:27:04.388652
20260414_162704_000065,8,2,1,207.0,2026-04-14 16:27:04.388659
20260414_162704_000066,9,3,1,192.51,2026-04-14 16:27:04.388666
20260414_162704_000067,6,1,3,330.88,2026-04-14 16:27:04.388672
20260414_162704_000068,9,3,1,370.09,2026-04-14 16:27:04.388679
20260414_162704_000069,81,1,1,185.34,2026-04-14 16:27:04.388686
20260414_162704_000070,1,4,1,153.56,2026-04-14 16:27:04.388692
20260414_162704_000071,47,3,1,347.8,2026-04-14 16:27:04.388699
20260414_162704_000072,25,1,1,292.2,2026-04-14 16:27:04.388705
20260414_162704_000073,35,1,2,241.47,2026-04-14 16:27:04.388712
20260414_162704_000074,3,4,1,259.29,2026-04-14 16:27:04.388718
20260414_162704_000075,38,1,2,451.04,2026-04-14 16:27:04.388725
20260414_162704_000076,1,1,1,313.8,2026-04-14 16:27:04.388731
20260414_162704_000077,7,4,1,344.2,2026-04-14 16:27:04.388738
20260414_162704_000078,44,2,2,491.54,2026-04-14 16:27:04.388745
20260414_162704_000079,46,1,2,291.85,2026-04-14 16:27:04.388752
20260414_162704_000080,14,4,1,328.01,2026-04-14 16:27:04.388759
20260414_162704_000081,30,3,1,451.49,2026-04-14 16:27:04.388765
20260414_162704_000082,80,2,2,339.93,2026-04-14 16:27:04.388773
20260414_162704_000083,2,2,1,122.05,2026-04-14 16:27:04.388779
20260414_162704_000084,8,3,1,482.48,2026-04-14 16:27:04.388787
20260414_162704_000085,12,4,1,298.42,2026-04-14 16:27:04.388794
20260414_162704_000086,31,4,2,223.11,2026-04-14 16:27:04.388800
20260414_162704_000087,1,1,1,105.17,2026-04-14 16:27:04.388808
20260414_162704_000088,3,1,2,407.82,2026-04-14 16:27:04.388815
20260414_162704_000089,60,3,1,465.4,2026-04-14 16:27:04.388821
20260414_162704_000090,9,1,1,487.26,2026-04-14 16:27:04.388828
20260414_162704_000091,75,4,1,110.86,2026-04-14 16:27:04.388834
20260414_162704_000092,6,4,1,390.03,2026-04-14 16:27:04.388841
20260414_162704_000093,74,4,1,221.85,2026-04-14 16:27:04.388847
20260414_162704_000094,7,4,3,357.44,2026-04-14 16:27:04.388854
20260414_162704_000095,56,2,1,360.61,2026-04-14 16:27:04.388861
20260414_162704_000096,1,3,1,442.85,2026-04-14 16:27:04.388867
20260414_162704_000097,66,1,1,443.75,2026-04-14 16:27:04.388874
20260414_162704_000098,31,3,1,215.2,2026-04-14 16:27:04.388880
20260414_162704_000099,54,2,1,199.78,2026-04-14 16:27:04.388887
20260414_162704_000100,30,4,1,380.38,2026-04-14 16:27:04.388894
20260414_162704_000101,21,3,2,173.59,2026-04-14 16:27:04.388900
20260414_162704_000102,10,1,3,176.62,2026-04-14 16:27:04.388907
20260414_162704_000103,3,4,1,250.88,2026-04-14 16:27:04.388913
20260414_162704_000104,7,3,2,373.43,2026-04-14 16:27:04.388920
20260414_162704_000105,22,2,1,262.55,2026-04-14 16:27:04.388929
20260414_162704_000106,82,2,2,352.52,2026-04-14 16:27:04.388935
20260414_162704_000107,64,2,3,204.72,2026-04-14 16:27:04.388943
20260414_162704_000108,22,2,2,159.29,2026-04-14 16:27:04.388949
20260414_162704_000109,9,2,1,107.59,2026-04-14 16:27:04.388956
20260414_162704_000110,2,3,1,364.74,2026-04-14 16:27:04.388963
20260414_162704_000111,2,3,1,241.48,2026-04-14 16:27:04.388970
20260414_162704_000112,84,2,2,478.39,2026-04-14 16:27:04.388976
20260414_162704_000113,36,3,2,298.2,2026-04-14 16:27:04.388983
20260414_162704_000114,7,3,1,353.72,2026-04-14 16:27:04.388990
20260414_162704_000115,30,1,3,117.65,2026-04-14 16:27:04.388997
20260414_162704_000116,42,1,2,265.13,2026-04-14 16:27:04.389004
20260414_162704_000117,8,3,2,333.54,2026-04-14 16:27:04.389010
20260414_162704_000118,34,2,1,395.78,2026-04-14 16:27:04.389016
20260414_162704_000119,18,4,1,321.6,2026-04-14 16:27:04.389023
20260414_162704_000120,4,2,1,437.59,2026-04-14 16:27:04.389029
20260414_162704_000121,14,4,2,102.3,2026-04-14 16:27:04.389036
20260414_162704_000122,14,2,2,185.63,2026-04-14 16:27:04.389043
20260414_162704_000123,42,3,1,422.65,2026-04-14 16:27:04.389049
20260414_162704_000124,5,4,2,246.57,2026-04-14 16:27:04.389055
20260414_162704_000125,24,4,1,130.31,2026-04-14 16:27:04.389062
20260414_162704_000126,9,1,2,137.31,2026-04-14 16:27:04.389070
20260414_162704_000127,2,2,2,308.17,2026-04-14 16:27:04.389077
20260414_162704_000128,6,1,1,465.56,2026-04-14 16:27:04.389083
20260414_162704_000129,5,3,1,215.97,2026-04-14 16:27:04.389090
20260414_162704_000130,45,1,1,127.68,2026-04-14 16:27:04.389098
20260414_162704_000131,88,4,2,109.83,2026-04-14 16:27:04.389105
20260414_162704_000132,57,3,1,282.58,2026-04-14 16:27:04.389111
20260414_162704_000133,1,1,1,493.69,2026-04-14 16:27:04.389118
20260414_162704_000134,1,2,1,134.58,2026-04-14 16:27:04.389124
20260414_162704_000135,85,3,1,384.61,2026-04-14 16:27:04.389131
20260414_162704_000136,63,1,2,201.13,2026-04-14 16:27:04.389137
20260414_162704_000137,1,4,1,290.58,2026-04-14 16:27:04.389144
20260414_162704_000138,12,4,1,321.95,2026-04-14 16:27:04.389150
20260414_162704_000139,43,2,1,311.37,2026-04-14 16:27:04.389158
20260414_162704_000140,70,4,1,113.71,2026-04-14 16:27:04.389164
20260414_162704_000141,26,2,3,137.66,2026-04-14 16:27:04.389171
20260414_162704_000142,14,4,1,401.91,2026-04-14 16:27:04.389178
20260414_162704_000143,3,2,1,100.38,2026-04-14 16:27:04.389184
20260414_162704_000144,6,3,1,218.54,2026-04-14 16:27:04.389190
20260414_162704_000145,77,4,1,236.73,2026-04-14 16:27:04.389197
20260414_162704_000146,84,1,2,446.19,2026-04-14 16:27:04.389206
20260414_162704_000147,16,1,1,182.31,2026-04-14 16:27:04.389213
20260414_162704_000148,4,1,1,322.83,2026-04-14 16:27:04.389219
