id_registro,id_pessoa,id_produto,classe,valor,gerado_em
20260415_103957_000001,77,1,1,408.98,2026-04-15 10:39:57.497373
20260415_103957_000002,27,1,2,405.48,2026-04-15 10:39:57.497391
20260415_103957_000003,5,4,2,451.32,2026-04-15 10:39:57.497402
20260415_103957_000004,1,2,1,214.81,2026-04-15 10:39:57.497410
20260415_103957_000005,1,4,1,223.47,2026-04-15 10:39:57.497418
20260415_103957_000006,58,2,1,404.79,2026-04-15 10:39:57.497426
20260415_103957_000007,38,3,1,407.05,2026-04-15 10:39:57.497433
20260415_103957_000008,44,1,1,131.64,2026-04-15 10:39:57.497440
20260415_103957_000009,4,1,1,365.9,2026-04-15 10:39:57.497453
20260415_103957_000010,95,4,1,268.5,2026-04-15 10:39:57.497461
20260415_103957_000011,20,2,1,180.45,2026-04-15 10:39:57.497470
20260415_103957_000012,49,2,1,276.96,2026-04-15 10:39:57.497481
20260415_103957_000013,21,1,1,141.11,2026-04-15 10:39:57.497489
20260415_103957_000014,39,1,1,403.47,2026-04-15 10:39:57.497495
20260415_103957_000015,9,2,3,241.01,2026-04-15 10:39:57.497503
20260415_103957_000016,2,1,3,229.1,2026-04-15 10:39:57.497510
20260415_103957_000017,53,1,2,282.58,2026-04-15 10:39:57.497519
20260415_103957_000018,50,4,1,190.95,2026-04-15 10:39:57.497526
20260415_103957_000019,1,3,1,374.06,2026-04-15 10:39:57.497533
20260415_103957_000020,25,2,2,251.82,2026-04-15 10:39:57.497541
20260415_103957_000021,2,2,1,137.5,2026-04-15 10:39:57.497548
20260415_103957_000022,5,2,1,316.36,2026-04-15 10:39:57.497554
20260415_103957_000023,10,3,1,142.0,2026-04-15 10:39:57.497574
20260415_103957_000024,21,2,1,471.58,2026-04-15 10:39:57.497581
20260415_103957_000025,4,4,2,338.82,2026-04-15 10:39:57.497588
20260415_103957_000026,13,1,2,280.01,2026-04-15 10:39:57.497595
20260415_103957_000027,13,3,1,209.11,2026-04-15 10:39:57.497602
20260415_103957_000028,69,2,1,491.21,2026-04-15 10:39:57.497609
20260415_103957_000029,92,2,3,388.97,2026-04-15 10:39:57.497618
20260415_103957_000030,38,2,1,361.32,2026-04-15 10:39:57.497638
20260415_103957_000031,89,2,1,230.7,2026-04-15 10:39:57.497645
20260415_103957_000032,1,1,1,204.67,2026-04-15 10:39:57.497652
20260415_103957_000033,2,2,2,442.53,2026-04-15 10:39:57.497660
20260415_103957_000034,51,1,2,458.47,2026-04-15 10:39:57.497668
20260415_103957_000035,47,4,1,112.25,2026-04-15 10:39:57.497687
20260415_103957_000036,58,1,3,136.45,2026-04-15 10:39:57.497694
20260415_103957_000037,15,3,1,412.78,2026-04-15 10:39:57.497701
20260415_103957_000038,96,3,1,465.21,2026-04-15 10:39:57.497708
20260415_103957_000039,4,1,1,450.82,2026-04-15 10:39:57.497714
20260415_103957_000040,71,1,1,403.12,2026-04-15 10:39:57.497721
20260415_103957_000041,5,1,1,419.95,2026-04-15 10:39:57.497728
20260415_103957_000042,1,3,1,421.09,2026-04-15 10:39:57.497734
20260415_103957_000043,25,4,1,357.64,2026-04-15 10:39:57.497741
20260415_103957_000044,66,4,1,161.22,2026-04-15 10:39:57.497747
20260415_103957_000045,7,4,2,179.37,2026-04-15 10:39:57.497754
20260415_103957_000046,40,4,3,442.2,2026-04-15 10:39:57.497761
20260415_103957_000047,14,3,3,486.65,2026-04-15 10:39:57.497768
20260415_103957_000048,1,1,2,265.1,2026-04-15 10:39:57.497775
20260415_103957_000049,36,1,1,381.88,2026-04-15 10:39:57.497782
20260415_103957_000050,16,1,2,407.05,2026-04-15 10:39:57.497789
20260415_103957_000051,2,4,1,132.09,2026-04-15 10:39:57.497795
20260415_103957_000052,21,2,1,314.29,2026-04-15 10:39:57.497802
20260415_103957_000053,33,3,2,376.42,2026-04-15 10:39:57.497809
20260415_103957_000054,3,3,1,298.05,2026-04-15 10:39:57.497817
20260415_103957_000055,11,4,1,205.69,2026-04-15 10:39:57.497824
20260415_103957_000056,4,1,1,432.98,2026-04-15 10:39:57.497830
20260415_103957_000057,1,4,1,260.5,2026-04-15 10:39:57.497837
20260415_103957_000058,59,1,1,124.9,2026-04-15 10:39:57.497844
20260415_103957_000059,55,3,3,315.49,2026-04-15 10:39:57.497853
20260415_103957_000060,18,2,1,286.07,2026-04-15 10:39:57.497860
20260415_103957_000061,3,3,1,398.97,2026-04-15 10:39:57.497867
20260415_103957_000062,33,2,2,164.19,2026-04-15 10:39:57.497874
20260415_103957_000063,3,4,1,163.82,2026-04-15 10:39:57.497880
20260415_103957_000064,16,2,1,472.71,2026-04-15 10:39:57.497887
20260415_103957_000065,1,3,1,215.1,2026-04-15 10:39:57.497894
20260415_103957_000066,85,3,3,259.38,2026-04-15 10:39:57.497900
20260415_103957_000067,29,2,2,244.33,2026-04-15 10:39:57.497907
20260415_103957_000068,2,4,1,382.83,2026-04-15 10:39:57.497914
20260415_103957_000069,91,2,2,234.56,2026-04-15 10:39:57.497936
20260415_103957_000070,31,2,3,174.74,2026-04-15 10:39:57.497943
20260415_103957_000071,94,2,1,274.58,2026-04-15 10:39:57.497950
20260415_103957_000072,59,1,1,487.35,2026-04-15 10:39:57.497957
20260415_103957_000073,42,4,2,438.08,2026-04-15 10:39:57.497964
20260415_103957_000074,9,4,2,405.17,2026-04-15 10:39:57.497971
20260415_103957_000075,89,2,1,439.79,2026-04-15 10:39:57.497992
20260415_103957_000076,90,3,1,473.19,2026-04-15 10:39:57.498012
20260415_103957_000077,3,4,1,492.73,2026-04-15 10:39:57.498032
20260415_103957_000078,1,4,2,462.55,2026-04-15 10:39:57.498041
20260415_103957_000079,25,4,2,260.17,2026-04-15 10:39:57.498048
20260415_103957_000080,11,4,2,351.64,2026-04-15 10:39:57.498055
20260415_103957_000081,13,4,2,242.92,2026-04-15 10:39:57.498062
20260415_103957_000082,30,2,2,339.05,2026-04-15 10:39:57.498069
20260415_103957_000083,22,3,1,456.03,2026-04-15 10:39:57.498089
20260415_103957_000084,77,2,1,377.22,2026-04-15 10:39:57.498095
20260415_103957_000085,36,2,2,373.48,2026-04-15 10:39:57.498102
20260415_103957_000086,12,2,2,412.44,2026-04-15 10:39:57.498108
20260415_103957_000087,4,4,1,496.2,2026-04-15 10:39:57.498117
20260415_103957_000088,12,2,1,205.93,2026-04-15 10:39:57.498124
20260415_103957_000089,4,4,3,241.87,2026-04-15 10:39:57.498131
20260415_103957_000090,75,3,1,387.48,2026-04-15 10:39:57.498137
20260415_103957_000091,78,2,1,436.42,2026-04-15 10:39:57.498145
20260415_103957_000092,1,2,3,153.39,2026-04-15 10:39:57.498151
20260415_103957_000093,16,1,2,123.92,2026-04-15 10:39:57.498158
20260415_103957_000094,49,3,2,445.59,2026-04-15 10:39:57.498171
20260415_103957_000095,5,2,2,355.22,2026-04-15 10:39:57.498182
20260415_103957_000096,63,1,1,141.84,2026-04-15 10:39:57.498213
20260415_103957_000097,3,3,1,141.48,2026-04-15 10:39:57.498224
20260415_103957_000098,39,1,3,155.04,2026-04-15 10:39:57.498234
20260415_103957_000099,24,4,3,221.22,2026-04-15 10:39:57.498245
20260415_103957_000100,3,2,1,316.48,2026-04-15 10:39:57.498256
20260415_103957_000101,15,2,1,284.26,2026-04-15 10:39:57.498267
20260415_103957_000102,28,3,2,397.9,2026-04-15 10:39:57.498277
20260415_103957_000103,12,2,1,177.01,2026-04-15 10:39:57.498288
20260415_103957_000104,1,3,1,135.74,2026-04-15 10:39:57.498299
20260415_103957_000105,64,1,1,224.74,2026-04-15 10:39:57.498310
20260415_103957_000106,13,1,2,221.44,2026-04-15 10:39:57.498321
20260415_103957_000107,4,4,1,108.81,2026-04-15 10:39:57.498333
20260415_103957_000108,56,2,1,328.63,2026-04-15 10:39:57.498344
20260415_103957_000109,14,4,3,160.08,2026-04-15 10:39:57.498376
20260415_103957_000110,6,4,3,301.37,2026-04-15 10:39:57.498384
20260415_103957_000111,86,3,2,198.09,2026-04-15 10:39:57.498391
20260415_103957_000112,20,4,1,252.5,2026-04-15 10:39:57.498397
20260415_103957_000113,1,4,1,151.0,2026-04-15 10:39:57.498404
20260415_103957_000114,10,4,1,406.73,2026-04-15 10:39:57.498411
20260415_103957_000115,1,2,1,299.41,2026-04-15 10:39:57.498417
20260415_103957_000116,5,3,1,418.57,2026-04-15 10:39:57.498424
20260415_103957_000117,11,1,1,446.77,2026-04-15 10:39:57.498430
20260415_103957_000118,1,1,1,284.92,2026-04-15 10:39:57.498436
20260415_103957_000119,19,1,3,159.73,2026-04-15 10:39:57.498443
20260415_103957_000120,36,1,1,410.2,2026-04-15 10:39:57.498449
20260415_103957_000121,5,1,2,265.42,2026-04-15 10:39:57.498456
20260415_103957_000122,99,4,2,323.52,2026-04-15 10:39:57.498463
20260415_103957_000123,71,1,1,370.74,2026-04-15 10:39:57.498471
20260415_103957_000124,4,1,1,346.8,2026-04-15 10:39:57.498478
20260415_103957_000125,3,4,2,127.41,2026-04-15 10:39:57.498484
20260415_103957_000126,1,1,1,103.94,2026-04-15 10:39:57.498492
20260415_103957_000127,51,1,2,411.25,2026-04-15 10:39:57.498498
20260415_103957_000128,61,2,1,113.02,2026-04-15 10:39:57.498505
20260415_103957_000129,10,2,2,436.91,2026-04-15 10:39:57.498511
20260415_103957_000130,16,3,1,180.44,2026-04-15 10:39:57.498519
20260415_103957_000131,3,4,1,228.71,2026-04-15 10:39:57.498525
20260415_103957_000132,30,4,1,402.17,2026-04-15 10:39:57.498532
20260415_103957_000133,24,4,1,321.33,2026-04-15 10:39:57.498538
20260415_103957_000134,4,3,2,220.92,2026-04-15 10:39:57.498546
20260415_103957_000135,1,3,2,243.12,2026-04-15 10:39:57.498552
20260415_103957_000136,9,4,1,420.0,2026-04-15 10:39:57.498559
20260415_103957_000137,33,1,2,309.24,2026-04-15 10:39:57.498565
20260415_103957_000138,13,3,1,292.3,2026-04-15 10:39:57.498572
20260415_103957_000139,1,1,2,238.12,2026-04-15 10:39:57.498580
20260415_103957_000140,7,4,1,193.37,2026-04-15 10:39:57.498586
20260415_103957_000141,18,4,1,340.52,2026-04-15 10:39:57.498593
20260415_103957_000142,54,3,1,252.78,2026-04-15 10:39:57.498599
20260415_103957_000143,52,3,2,267.22,2026-04-15 10:39:57.498606
20260415_103957_000144,17,1,2,247.92,2026-04-15 10:39:57.498612
20260415_103957_000145,1,3,1,431.11,2026-04-15 10:39:57.498619
20260415_103957_000146,1,1,3,108.23,2026-04-15 10:39:57.498626
20260415_103957_000147,16,2,1,124.74,2026-04-15 10:39:57.498635
20260415_103957_000148,19,1,2,274.41,2026-04-15 10:39:57.498641
20260415_103957_000149,23,3,1,349.07,2026-04-15 10:39:57.498648
20260415_103957_000150,1,4,3,136.78,2026-04-15 10:39:57.498655
20260415_103957_000151,79,4,1,270.82,2026-04-15 10:39:57.498661
20260415_103957_000152,48,2,1,362.36,2026-04-15 10:39:57.498668
20260415_103957_000153,1,4,1,197.85,2026-04-15 10:39:57.498674
20260415_103957_000154,11,1,1,191.17,2026-04-15 10:39:57.498681
20260415_103957_000155,20,1,1,343.2,2026-04-15 10:39:57.498689
20260415_103957_000156,71,3,1,185.13,2026-04-15 10:39:57.498695
20260415_103957_000157,5,2,1,282.17,2026-04-15 10:39:57.498703
20260415_103957_000158,26,2,1,164.71,2026-04-15 10:39:57.498709
20260415_103957_000159,12,1,1,407.99,2026-04-15 10:39:57.498716
20260415_103957_000160,19,1,1,236.14,2026-04-15 10:39:57.498722
20260415_103957_000161,10,2,3,464.44,2026-04-15 10:39:57.498729
20260415_103957_000162,64,1,1,274.84,2026-04-15 10:39:57.498736
20260415_103957_000163,44,2,1,354.28,2026-04-15 10:39:57.498742
20260415_103957_000164,55,2,1,100.17,2026-04-15 10:39:57.498749
20260415_103957_000165,21,1,2,150.11,2026-04-15 10:39:57.498756
20260415_103957_000166,19,1,2,212.43,2026-04-15 10:39:57.498763
20260415_103957_000167,5,4,1,434.5,2026-04-15 10:39:57.498769
20260415_103957_000168,30,3,1,247.4,2026-04-15 10:39:57.498776
20260415_103957_000169,27,3,2,176.15,2026-04-15 10:39:57.498782
20260415_103957_000170,48,3,1,389.97,2026-04-15 10:39:57.498789
20260415_103957_000171,11,2,2,110.13,2026-04-15 10:39:57.498796
20260415_103957_000172,12,1,1,162.21,2026-04-15 10:39:57.498802
20260415_103957_000173,29,4,1,317.49,2026-04-15 10:39:57.498809
20260415_103957_000174,20,1,1,378.89,2026-04-15 10:39:57.498816
20260415_103957_000175,47,1,1,139.63,2026-04-15 10:39:57.498823
20260415_103957_000176,51,4,3,304.03,2026-04-15 10:39:57.498829
20260415_103957_000177,53,4,1,315.82,2026-04-15 10:39:57.498836
20260415_103957_000178,6,1,1,409.8,2026-04-15 10:39:57.498843
20260415_103957_000179,31,3,1,484.13,2026-04-15 10:39:57.498849
20260415_103957_000180,70,4,1,160.71,2026-04-15 10:39:57.498856
20260415_103957_000181,8,3,1,184.42,2026-04-15 10:39:57.498862
20260415_103957_000182,2,1,2,101.01,2026-04-15 10:39:57.498869
20260415_103957_000183,1,1,1,480.35,2026-04-15 10:39:57.498876
20260415_103957_000184,2,2,2,373.76,2026-04-15 10:39:57.498882
